# L TT EE BB TE PP
2.28000000e+02 7.68642319e-10 1.50330752e-13 2.52661360e-15 3.56389453e-12 5.03065321e-08
2.29000000e+02 7.67957239e-10 1.55310770e-13 2.54990095e-15 3.78839187e-12 5.00768114e-08
2.30000000e+02 7.67188577e-10 1.60535942e-13 2.57323547e-15 4.01361706e-12 4.98488237e-08
2.31000000e+02 7.66337334e-10 1.66008203e-13 2.59661453e-15 4.23947032e-12 4.96225331e-08
2.32000000e+02 7.65404513e-10 1.71732485e-13 2.62003545e-15 4.46586190e-12 4.93979452e-08
2.33000000e+02 7.64389114e-10 1.77712722e-13 2.64349553e-15 4.69269208e-12 4.91750243e-08
2.34000000e+02 7.63291140e-10 1.83951845e-13 2.66699200e-15 4.91986117e-12 4.89537467e-08
2.35000000e+02 7.62112592e-10 1.90453784e-13 2.69052211e-15 5.14728948e-12 4.87341059e-08
2.36000000e+02 7.60851473e-10 1.97222469e-13 2.71408304e-15 5.37486738e-12 4.85160898e-08
2.37000000e+02 7.59510785e-10 2.04258828e-13 2.73767196e-15 5.60249523e-12 4.82996630e-08
2.38000000e+02 7.58089529e-10 2.11566791e-13 2.76128601e-15 5.83008346e-12 4.80848191e-08
2.39000000e+02 7.56588707e-10 2.19148284e-13 2.78492232e-15 6.05753249e-12 4.78715457e-08
2.40000000e+02 7.55008323e-10 2.27008234e-13 2.80857800e-15 6.28472277e-12 4.76598135e-08
2.41000000e+02 7.53348377e-10 2.35148568e-13 2.83225013e-15 6.51158478e-12 4.74495989e-08
2.42000000e+02 7.51610873e-10 2.43571210e-13 2.85593579e-15 6.73799905e-12 4.72408953e-08
2.43000000e+02 7.49795812e-10 2.52279086e-13 2.87963207e-15 6.96386610e-12 4.70336790e-08
2.44000000e+02 7.47903196e-10 2.61274120e-13 2.90333602e-15 7.18910649e-12 4.68279434e-08
2.45000000e+02 7.45935026e-10 2.70559237e-13 2.92704472e-15 7.41361080e-12 4.66236481e-08
2.46000000e+02 7.43892306e-10 2.80134360e-13 2.95075523e-15 7.63728966e-12 4.64207976e-08
2.47000000e+02 7.41774036e-10 2.90003413e-13 2.97446464e-15 7.86004369e-12 4.62193572e-08
2.48000000e+02 7.39583217e-10 3.00168319e-13 2.99817003e-15 8.08176356e-12 4.60193201e-08
2.49000000e+02 7.37318851e-10 3.10629001e-13 3.02186850e-15 8.30236995e-12 4.58206629e-08
2.50000000e+02 7.34982939e-10 3.21389381e-13 3.04555718e-15 8.52175358e-12 4.56233677e-08
2.51000000e+02 7.32574483e-10 3.32447382e-13 3.06923321e-15 8.73979518e-12 4.54274286e-08
2.52000000e+02 7.30094496e-10 3.43805919e-13 3.09289376e-15 8.95640550e-12 4.52328125e-08
2.53000000e+02 7.27542993e-10 3.55464909e-13 3.11653602e-15 9.17147531e-12 4.50395305e-08
2.54000000e+02 7.24921987e-10 3.67426268e-13 3.14015722e-15 9.38488540e-12 4.48475510e-08
2.55000000e+02 7.22229492e-10 3.79688911e-13 3.16375462e-15 9.59654659e-12 4.46568848e-08
2.56000000e+02 7.19467521e-10 3.92254754e-13 3.18732553e-15 9.80634973e-12 4.44675005e-08
